name,lanetype,the_length
WILLIAM ST,SHARED BUS BIKE,NA
WINANS WAY,SHARED BUS BIKE,NA
WINSTON AVE,SHARED BUS BIKE,NA
WINSTON-ROSSITER,SHARED BUS BIKE,NA
WINSTON-STONEWOOD,SHARED BUS BIKE,NA
WYMAN PARK DR,SHARED BUS BIKE,NA
YORK ROAD,SHARED BUS BIKE,NA
ALBEMARLE ST,SHARROW,439.65669098
ALICEANNA ST,SHARROW,4763.49576704
ARGONNE DR,SHARROW,NA
ART MUSEUM DR,SHARROW,NA
AUCHENTOROLY TERR,SHARROW,NA
BANK ST,SHARROW,NA
BATTERY AVE,SHARROW,NA
BEAUMONT AVE,SHARROW,NA
BELAIR ROAD,SHARROW,3800.26589682
BOSTON ST,SHARROW,NA
CHARLCOTE ROAD,SHARROW,NA
CHERRY HILL ROAD,SHARROW,NA
CHERRYLAND ROAD,SHARROW,2175.45700312
CHESTNUT AVE,SHARROW,1538.32159552
CLARKS LANE,SHARROW,2109.36333875
CORSE AVE,SHARROW,812.96709993
CROSS COUNTRY BLVD,SHARROW,1496.1366935
CURRAN DR,SHARROW,NA
DOLFIELD AVE,SHARROW,3143.90924042
DRUID PARK LAKE DR,SHARROW,NA
E 33RD ST,SHARROW,14732.9542143
E 34TH ST,SHARROW,NA
E BALTIMORE ST,SHARROW,12262.54184422
E CLEMENT ST,SHARROW,NA
E COLD SPRING LANE,SHARROW,NA
E GITTINGS ST,SHARROW,NA
E LANVALE ST,SHARROW,455.59865734000005
E LOMBARD ST,SHARROW,NA
E MONUMENT ST,SHARROW,2755.8715845
E MOUNT ROYAL AVE,SHARROW,1461.91021923
E PRATT ST,SHARROW,NA
E UNIVERSITY PKWY,SHARROW,NA
EASTERN AVE,SHARROW,NA
ECHODALE AVE,SHARROW,4195.95845211
EDMONDSON AVE,SHARROW,NA
ESSEX ST,SHARROW,846.87857033
ETHELBERT AVE,SHARROW,NA
FAIRHAVEN AVE,SHARROW,NA
FAIT AVE,SHARROW,5800.9234162
FALLSWAY,SHARROW,2011.82952237
FAWN ST,SHARROW,NA
FLEET ST,SHARROW,159.99213247
FRANKFORD AVE,SHARROW,534.57695364
FRANKFORD ROAD,SHARROW,NA
FRANKFURST AVE,SHARROW,NA
FREDERICK AVE,SHARROW,NA
FREDERICK ROAD,SHARROW,NA
GARRISON BLVD,SHARROW,7840.4042606600005
GLEN AVE,SHARROW,3284.96106027
GOUGH ST,SHARROW,NA
GREENSPRING AVE,SHARROW,3698.32015688
GREENWAY,SHARROW,NA
GUILFORD AVE,SHARROW,2687.28656017
GUILFORD TERR,SHARROW,NA
GWYNN OAK AVE,SHARROW,NA
HAMLIN AVE,SHARROW,372.60027097
HILLEN ROAD,SHARROW,NA
HILTON ROAD,SHARROW,693.21124997
